Contract description/name,Contract value
RAILWAY EQUIPMENT,17160
BOOKS MAPS PUBLICNS,17160
RAILWAY EQUIPMENT,17066.89
LABOUR CONTRACTORS,16817.96
RAILWAY EQUIPMENT,16544
PROFESSIONAL SERVICE,16500
LIGHTING & LAMPS,16472.41
MISC SERVICES,16303.98
RAILWAY EQUIPMENT,16086.37
 FENCING CONTRACTS,15929.76
SERV PLANT & EQUIP,15921.1
SERV PLANT & EQUIP,15845.06
RAILWAY EQUIPMENT,15757.5
VEGETATION MNGMENT,15510
VEGETATION MNGMENT,15477
SERVICES - ELEC INV,15457.29
RAILWAY EQUIPMENT,15185.5
MTNCE & REPAIR EQUIP,14850
CIVIL WORKS CONTRACT,14762
"ORES, MINERALS",14747.7
ELECTRICAL COMPNENTS,14710.85
LIGHTING & LAMPS,14642.14
RAILWAY EQUIPMENT,14636.93
HARDWARE CONSUMABLES,14635.08
VEGETATION MNGMENT,14593.15
WASTE DISPOSAL,14462.98
LABOUR CONTRACTORS,14435.52
RAILWAY EQUIPMENT,14399
SERV PLANT & EQUIP,14243.12
MISCELLANEOUS,14198.36
RAILWAY EQUIPMENT,14169.65
PROFESSIONAL SERVICE,14135
RAILWAY EQUIPMENT,14100
COMMUN EQUIPMENT,14080
LABOUR CONTRACTORS,14062.4
CONSTR BLDING MATLS,13948
MTNCE & REPAIR EQUIP,13860
DESKTOP SOFTWARE,13856.92
RAILWAY EQUIPMENT,13750
 FENCING CONTRACTS,13714.25
COMMUN EQUIPMENT,13547.27
HIRE-LEASE PLANT&EQP,13524.5
RAILWAY EQUIPMENT,13368.43
COMMUN EQUIPMENT,13365
RAILWAY EQUIPMENT,13310
PROPERTY,13200
FREIGHT & CARTAGE,13200
RAILWAY EQUIPMENT,13200
CONSTR BLDING MATLS,13180.99
COMMUN EQUIPMENT,13123.68
ELECTRICAL COMPNENTS,12925
LABOUR CONTRACTORS,12756.04
"M VEH, TRLRS & CYCL",12711.36
RAILWAY EQUIPMENT,12496.78
RAILWAY EQUIPMENT,12480.6
PROFESSIONAL SERVICE,12370.38
MTNCE & REPAIR EQUIP,12366.2
SERV PLANT & EQUIP,12317.25
SERV PLANT & EQUIP,12300
PROPERTY,12271.6
RAILWAY EQUIPMENT,12180.18
TRACTORS,12122
PROFESSIONAL SERVICE,12056
 BLDG WORKS CONTRACT,11990
RAILWAY EQUIPMENT,11880
TRAINING SERVICES,11880
CONSTR BLDING MATLS,11759
SERV INSPECT & TEST,11720.5
PROFESSIONAL SERVICE,11717.2
HARDWARE CONSUMABLES,11707.52
RAILWAY EQUIPMENT,11632.5
HIRE-LEASE PLANT&EQP,11564.41
ELECTRICAL COMPNENTS,11556.29
TEXTILES & TENTS,11495
HIRE-LEASE PLANT&EQP,11357.5
RAILWAY EQUIPMENT,11268.58
RAILWAY EQUIPMENT,11102
CIVIL WORKS CONTRACT,11011
HIRE-LEASE PLANT&EQP,11000
MTNCE & REPAIR EQUIP,10968.8
HIRE-LEASE PLANT&EQP,10939.5
CIVIL WORKS CONTRACT,10831.7
HARDWARE CONSUMABLES,10801.41
"ORES, MINERALS",10791
TRAINING SERVICES,10780
SERV PLANT & EQUIP,10741.06
RAILWAY EQUIPMENT,10626
PROFESSIONAL SERVICE,10461
RAILWAY EQUIPMENT,10450
SERV PLANT & EQUIP,10395
RAILWAY EQUIPMENT,10384
HIRE-LEASE PLANT&EQP,10340
PEST CONTROL,10323.06
RAILWAY EQUIPMENT,10264
SERV PLANT & EQUIP,10231.32
COMMUN EQUIPMENT,10212.4
"DIRECT CONSUMABLES (CATERING, LINEN, TRAVEL PACKS, ETC.)",10000
"DIRECT CONSUMABLES (CATERING, LINEN, TRAVEL PACKS, ETC.)",10000
"DIRECT CONSUMABLES (CATERING, LINEN, TRAVEL PACKS, ETC.)",10000
RAILWAY EQUIPMENT,246524.85
"ENGINES, TURB & COMP",16464250
FREIGHT & CARTAGE,1054130
