Agency Name,Agency Address,Contract Category Group,Use of Confidentiality Clause?,Variation to Contract?,Description,Award Contract Date,"Contract Value 
(GST Incl)",Supplier Name,Supplier Address,Procurement Method,NOTE
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,Y,Y,CB343 JWAC Mould Remediation,24/07/2020," 61,146.80 ",STEELE WROBEL QUANTITY SURVEYORS,"LEVEL 3, BOWMAN HOUSE, 276 EDWARD STREET, BRISBANE   QLD   4000",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,CB328 - QCC Air Circuit Breakers (ACB) Replacements QM/QAG,28/09/2020," 144,149.28 ",HONEYWELL LIMITED,"19 Corporate Dr, Cannon Hill   QLD   4170",Direct,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,CB133 - Due Diligence Program,26/10/2020," 21,302.45 ",AECOM AUSTRALIA PTY LTD,"PO BOX 1307, FORTITUDE VALLEY   QLD   4006",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,CB333 - QAG Security Control Room Loading Dock,26/11/2020," 83,378.90 ",HONEYWELL LIMITED,"19 Corporate Dr, Cannon Hill   QLD   4170",Direct,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,CB352 – QPAC Lyric Stage Lift,11/12/2020," 52,039.90 ",AECOM AUSTRALIA PTY LTD,"PO BOX 1307, FORTITUDE VALLEY   QLD   4006",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,UPS and Battery Replacement Stage 2,23/12/2020," 211,105.95 ",ARNOLD ELECTRICAL & DATA INSTALLATIONS PTY LTD,"PO BOX 142 MOOROOKA, QLD, 4105",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,QP002 - QPAC Stage Door Amenity and Security Upgrade Project,31/07/2019," 144,599.40 ",ARCHITECTUS BRISBANE PTY LTD,"LEVEL 2, 79 ADELAIDE STREET, BRISBANE   QLD   4000",SOA Multiple,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,QP002 - QPAC Stage Door Amenity and Security Upgrade Project,31/07/2019," 65,631.50 ",ELEMENT8 PROJECT GROUP PTY LTD,"PO BOX 12908 GEORGE STREET, BRISBANE   QLD   4003",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,IR001 - CEP Upgrade and Expansion Project - Principal Design,20/08/2019," 968,147.95 ",PDT ARCHITECTS,"LEVEL 3, 100 MCLACHLAN STREET, FORTITUDE VALLEY   QLD   4006",Invitation to Offer,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,"IR001, IR008, IR007 & IR006 -  CEP Upgrade Project",9/09/2019," 313,126.00 ",STEELE WROBEL QUANTITY SURVEYORS,"LEVEL 3, BOWMAN HOUSE, 276 EDWARD STREET, BRISBANE   QLD   4000",Invitation to Offer,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,"FE015, FE016 & FE017 - Hot Water Systems Electrical Metering",2/03/2020," 10,692.00 ",BTP ELECTRICAL,"PO BOX 1569, COORPAROO DC   QLD   4151",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,"QP003 - Pit Wagon Upgrade Project, Lyric Theatre, QPAC",18/02/2020," 1,346,390.54 ",PBA-QP003-LEAF BUILDING GROUP PTY LTD,"PO BOX 3320, NEWSTEAD   QLD   4006",Invitation to Offer,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,IR001 - CEP Cooling Towers Expansion,3/06/2020," 353,350.14 ",HONEYWELL LIMITED,"19 Corporate Dr, Cannon Hill   QLD   4170",Direct,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,FE026 - Queensland Museum Fire Stairs LED Replacement,9/06/2020," 78,346.40 ",Rob Buchanan Electrical Pty Ltd,"15 Princeton Street, KENMORE   QLD   4069",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,IR004 - OS3 Technical Services Office / Network Hardware,26/06/2020," 340,071.93 ",HONEYWELL LIMITED,"19 Corporate Dr, Cannon Hill   QLD   4170",Direct,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,IR001 - Central Energy Plant (CEP) Cooling Towers Expansion,8/07/2020," 6,654,343.73 ",PBA - IR001 - INTREC MANAGEMENT PTY LTD,"73 RESERVE ROAD, ARTARMON   NSW   2064",Invitation to Offer,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,IR004 - OS3 Technical Services Office,31/08/2020," 128,001.20 ",ARNOLD ELECTRICAL & DATA INSTALLATIONS PTY LTD,"PO BOX 142 MOOROOKA, QLD, 4105",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,S0060 - JWC Internal Water Damage Project,11/09/2020," 1,002,082.43 ",PREMIS SOLUTIONS PTY LTD,"7 MALLON STREET, BOWEN HILLS   QLD   4006",SOA Single,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",Building Construction & Maintenance,N,Y,QP002 - QPAC Stage Door and CI605 - Cremorne Theatre Ramp,2/11/2020," 984,010.65 ",INTREC MANAGEMENT PTY LTD,"8 GARDNER CLOSE, MILTON   QLD   4064",Invitation to Offer,
Arts Queensland,"Level 16, 111 George St, Brisbane Q  4000",General Goods and Services,N,Y,Springmount Services 2016-2019,1/07/2016," 14,709,889.20 ",SPRINGMOUNT SERVICES PTY LTD,"PO BOX 1853, SPRINGWOOD   QLD   4127",SOA Multiple,
,,,,,,,,,,,
