Technology_tool,Technology_tool_example,Tech Tool Ranking
Map creation software,Bentley Systems InRoads Suite,2
Map creation software,ESRI ArcView,3
Map creation software,Delivery Routing System DRS,4
Map creation software,Martens Farms Farm Site Mate,5
Marine craft communications systems,Ultra high frequency UHF radiotelephone systems,1
Mass spectrometers,Liquid chromatography/mass spectrometry LC/MS equipment,1
Mass spectrometers,Gas chromatograph mass spectrometers GC-MS,2
Materials requirements planning logistics and supply chain software,Materials requirement planning MRP software,1
Materials requirements planning logistics and supply chain software,Integrated Decision Support Corporation Netwise Supply Chain,2
Materials requirements planning logistics and supply chain software,Oracle Flow Manufacturing,3
Materials requirements planning logistics and supply chain software,SSA Global Supply Chain Management,4
Medical picture archiving computer systems PACS,Medical picture archiving computer systems PACS,1
Medical positron emission tomography PET units,Positron emission tomography PET equipment,1
Medical single photon emission computed tomography SPECT units,Medical single photo emission computed tomography SPECT equipment,1
Medical x ray units for general diagnostic use,Portable x ray machines,1
Microcontrollers,Programmable logic controllers PLC,1
Microcontrollers,Computerised numerical control CNC programmable welding robot controllers,2
Microphones,Universal serial bus USB microphones,1
MRI scanning equipment,MRI audio and visual intercommunication systems,1
MRI scanning equipment,MRI equipment,2
MRI scanning equipment,High-resolution functional MRI equipment,3
MRI scanning equipment,MRI microscopes,4
Music or sound editing software,Avid Technology Pro Tools,1
Music or sound editing software,Adobe Audition,2
Music or sound editing software,Avid Pro Tools,3
Musical instrument digital interface MIDI interfaces,Musical instrument digital interface MIDI sequencers,1
Network analysers,Local area network LAN analysers,1
Network analysers,Asynchronous transfer mode ATM analysers,2
Network analysers,Wide area network WAN analysers,3
Network conferencing software,Microsoft Office SharePoint Server MOSS,1
Network monitoring software,Wireshark,1
Network monitoring software,Nagios,2
Network monitoring software,Novell NetWare Management Station,3
Network monitoring software,IBM QRadar SIEM,4
Network security and virtual private network VPN software,Virtual private networking VPN software,1
Network security and virtual private network VPN software,Palo Alto Networks Next-Generation Security Platform,2
Network security and virtual private network VPN software,Virtual local area network management software,3
Network security and virtual private network VPN software,IBM Security Network Intrusion Prevention System,4
Network switches,Local area network LAN switches,1
Network switches,Wide area network WAN switches,2
Non invasive bi level machines,Bilevel positive airway pressure BPAP equipment,1
Non invasive continuous positive air pressure machines CPAP,Continuous positive airway pressure CPAP equipment,1
Nuclear magnetic resonance NMR spectrometers,Nuclear magnetic resonance NMR spectroscopes,1
Nuclear magnetic resonance NMR spectrometers,Liquid nuclear magnetic resonance NMR equipment,2
Nuclear magnetic resonance NMR spectrometers,Solid-state nuclear magnetic resonance NMR equipment,3
Object oriented development software,Python,1
Object oriented development software,Oracle Java,2
Object oriented development software,C++,3
Object oriented development software,R,4
Object oriented development software,C#,5
Optical character reader OCR or scanning software,Optical character recognition OCR software,1
Patient controlled analgesia infusion pumps,Patient controlled analgesia PCA pumps,1
"Patient management, diagnostic and medical imaging software",MEDITECH software,1
"Patient management, diagnostic and medical imaging software",Epic Systems,2
"Patient management, diagnostic and medical imaging software",Electronic medical record EMR software,3
"Patient management, diagnostic and medical imaging software",Healthcare common procedure coding system HCPCS,4
"Patient management, diagnostic and medical imaging software",Patient electronic medical record EMR software,5
Premise branch exchange PBX systems,Premise branch exchange PBX equipment,1
Program testing software,Selenium,1
Program testing software,Hewlett Packard LoadRunner,2
Program testing software,JUnit,3
Program testing software,Debugging software,4
Program testing software,Bugzilla,5
Project management software,Microsoft SharePoint,1
Project management software,Atlassian JIRA,2
Project management software,Microsoft Project,3
Project management software,Confluence,4
Project management software,Oracle Primavera Enterprise Project Portfolio Management,5
Radiation therapy equipment,Image guided intensity modulated radiation therapy IMRT equipment,1
Radiation therapy equipment,Computed tomography CT radiation therapy planning simulators,2
Radiation therapy equipment,Medical linear accelerator intensity modulated radiation therapy IMRT three dimensional units,3
Radiation therapy equipment,Medical linear accelerator intensity modulated radiation therapy IMRT two dimensional units,4
Radiation therapy equipment,Radiation therapy beam directing wedges,5
Radio frequency transmitters or receivers,Radio Frequency Identification Device RFID scanners,1
Radio frequency transmitters or receivers,Radio frequency RF Transmitters,2
Radio frequency transmitters or receivers,Ultra high frequency UHF radio communication systems,3
Rapid amplification or complementary deoxyribonucleic acid ends RACE technology products,Polymerase chain reaction PCR equipment,1
Sales and marketing software,Google AdWords,1
Sales and marketing software,Webtrends software,2
Data base user interface and query software,Microsoft SQL Server,1
Data base user interface and query software,Microsoft Access,2
Data base user interface and query software,Transact-SQL,3
Data base user interface and query software,MySQL,4
Data base user interface and query software,Practice management software PMS,5
"Simulation, design and modelling software",Google Analytics,1
"Simulation, design and modelling software",SAS,2
"Simulation, design and modelling software",The MathWorks MATLAB,3
"Simulation, design and modelling software",StataCorp Stata,4
"Simulation, design and modelling software",Minitab,5
Social media and web publishing software,Facebook,1
Social media and web publishing software,LinkedIn,2
Social media and web publishing software,Instagram,3
Social media and web publishing software,Tumblr,4
Social media and web publishing software,Microsoft FrontPage,5
Spectrophotometers,Ultraviolet-Visible UV/VIS spectrophotometers,1
Time accounting software,ADP PC/Payroll,1
Time accounting software,Kronos Workforce Timekeeper,2
Time accounting software,Electronic Time Clock ETC,3
Transaction security and virus protection software,McAfee,1
Transaction security and virus protection software,Symantec,2
Transaction security and virus protection software,McAfee VirusScan,3
Transaction security and virus protection software,HP WebInspect,4
Transaction server software,Customer information control system CICS,1
Transaction server software,Microsoft Internet Information Services IIS,2
Transaction server software,IBM Middleware,3
Transaction server software,Web server software,4
Video creation and editing software,Adobe AfterEffects,1
Video creation and editing software,Adobe Premiere Pro,2
Video creation and editing software,YouTube,3
Video creation and editing software,Apple Final Cut Pro,4
Video creation and editing software,MAXON CINEMA 4D,5
Voice recognition and response software,Interactive voice response software,1
Voice recognition and response software,Voice recognition software,2
Voice recognition and response software,DSC Pacer Interactive Voice Response System,3
Wattmeters,Radio frequency RF wattmeters,1
Web page creation and editing software,WordPress,1
Web page creation and editing software,Yahoo Flickr,2
Web platform development software,JavaScript,1
Web platform development software,Hypertext Markup Language HTML,2
Web platform development software,PHP: Hypertext preprocessor,3
Web platform development software,Cascading Style Sheets CSS,4
Web platform development software,Drupal,5
